Price,Prediction
8187.6,7842.4
8024.1,8059.6
8187.1,8155.7
7842.4,7759.1
8059.6,7372.5
8155.7,7376.8
7759.1,7343.1
7372.5,6967.0
7376.8,7199.8
7343.1,7196.4
6967.0,7261.8
7199.8,7397.5
7196.4,7321.5
7261.8,7261.7
7397.5,7210.9
7321.5,7224.8
7261.7,7268.3
7210.9,7322.8
7224.8,7495.8
7268.3,7156.2
7322.8,7196.4
7495.8,7165.5
7156.2,7276.0
7196.4,6613.3
7165.5,6903.5
7276.0,7128.5
6613.3,7080.8
6903.5,7255.2
7128.5,7208.0
7080.8,7208.0
7255.2,7235.7
7208.0,7355.8
7208.0,7524.4
7235.7,7510.9
7355.8,7530.8
7524.4,7399.2
7510.9,7204.4
7530.8,7291.8
7399.2,7298.2
7204.4,7396.4
7291.8,7546.6
7298.2,7742.7
7396.4,7426.7
7546.6,7510.6
7742.7,7162.8
7426.7,7115.6
7510.6,6924.7
7162.8,7324.1
7115.6,7272.5
6924.7,7627.9
7324.1,8099.3
7272.5,8145.7
7627.9,8208.4
8099.3,8509.8
8145.7,8497.3
8208.4,8476.3
8509.8,8661.2
8497.3,8783.1
8476.3,8812.6
8661.2,8736.9
8783.1,9036.8
8812.6,8804.5
8736.9,8778.2
9036.8,9223.5
8804.5,9338.9
8778.2,9310.8
9223.5,9396.4
9338.9,9198.3
9310.8,9300.6
9396.4,9230.1
9198.3,9152.6
9300.6,9157.9
9230.1,9411.3
9152.6,9207.2
9157.9,9529.6
9411.3,9230.6
9207.2,8658.3
9529.6,7422.7
9230.6,7477.0
8658.3,8031.4
7422.7,8208.2
7477.0,8223.4
8031.4,7957.3
8208.2,7948.5
8223.4,8073.3
7957.3,8000.4
7948.5,8167.2
8073.3,8353.3
8000.4,8281.5
8167.2,8304.4
8353.3,8267.8
8281.5,8562.3
8304.4,8566.7
8267.8,8182.9
8562.3,8198.6
8566.7,7881.9
8182.9,8127.3
8198.6,8148.1
7881.9,8226.9
8127.3,8364.1
8148.1,8302.7
8226.9,8284.3
8364.1,8049.1
8302.7,8208.5
8284.3,8184.9
8049.1,8063.8
8208.5,8432.4
8184.9,8513.9
8063.8,9702.2
8432.4,10031.6
8513.9,9993.0
9702.2,10172.7
10031.6,10250.5
9993.0,10164.7
10172.7,10195.7
10250.5,10255.5
10164.7,10311.5
10195.7,10337.3
10255.5,10342.1
10311.5,10415.1
10337.3,10162.5
10342.1,10105.4
10415.1,10309.0
10162.5,10402.8
10105.4,10461.1
10309.0,10309.3
10402.8,10566.9
10461.1,10568.2
10309.3,10612.3
10566.9,10348.8
